audit_id,meter_id,zone,action_timestamp,action_type,inspector_id,outcome,remarks,fine_inr,follow_up_date,related_alert_id
AUD-0001124,BSCM-000078,Koramangala,2024-01-18 18:00:00,Meter Replacement,INS-0016,Pending,Seal broken — theft suspected,0.0,2024-02-22,
AUD-0001125,BSCM-000243,Jayanagar,2024-06-20 00:00:00,Notice Issued,INS-0005,Pass,Consumer cooperative,0.0,,
AUD-0001126,BSCM-000358,Indiranagar,2024-02-29 19:00:00,Disconnection Order,INS-0004,Fail,No access to premises,0.0,,
AUD-0001127,BSCM-000077,Hebbal,2024-06-20 22:00:00,Disconnection Order,INS-0007,Pass,Meter dead — replaced,0.0,,
AUD-0001128,BSCM-000065,Koramangala,2024-03-19 22:00:00,Reading Correction,INS-0013,Pass,Meter dead — replaced,0.0,,
AUD-0001129,BSCM-000455,Indiranagar,2023-04-19 13:00:00,Reconnection,INS-0014,Fail,Meter dead — replaced,0.0,,
AUD-0001130,BSCM-000054,Whitefield,2024-03-17 14:00:00,Physical Audit,INS-0007,Escalated,Normal reading verified,0.0,2024-04-29,
AUD-0001131,BSCM-000439,Indiranagar,2023-07-14 10:00:00,Physical Audit,INS-0012,Pass,Bypass wire found,0.0,,
AUD-0001132,BSCM-000071,Electronic City,2023-05-13 14:00:00,Seal Verification,INS-0015,Pass,Normal reading verified,0.0,,
AUD-0001133,BSCM-000366,BTM Layout,2023-04-14 03:00:00,Disconnection Order,INS-0019,Fail,No access to premises,0.0,,
AUD-0001134,BSCM-000162,Koramangala,2023-11-01 12:00:00,Tariff Update,INS-0008,Escalated,Consumer cooperative,0.0,2023-11-29,
AUD-0001135,BSCM-000363,Jayanagar,2023-04-26 12:00:00,Seal Verification,INS-0015,Fail,Consumer cooperative,0.0,,
AUD-0001136,BSCM-000228,Indiranagar,2023-03-06 16:00:00,Reading Correction,INS-0020,Escalated,Seal broken — theft suspected,0.0,2023-04-25,
AUD-0001137,BSCM-000068,Jayanagar,2023-05-07 19:00:00,FIR Filed,INS-0017,Pending,Consumer cooperative,0.0,2023-07-03,ALT-000583
AUD-0001138,BSCM-000432,Electronic City,2023-07-22 06:00:00,Tariff Update,INS-0001,Pass,Normal reading verified,0.0,,
AUD-0001139,BSCM-000255,BTM Layout,2023-01-31 05:00:00,Physical Audit,INS-0002,Pass,Meter dead — replaced,0.0,,
AUD-0001140,BSCM-000462,Jayanagar,2023-01-27 09:00:00,Notice Issued,INS-0005,Pass,,0.0,,
AUD-0001141,BSCM-000322,Indiranagar,2023-04-03 15:00:00,Notice Issued,INS-0015,Escalated,Meter dead — replaced,0.0,2023-04-10,
AUD-0001142,BSCM-000367,Hebbal,2023-11-02 01:00:00,Disconnection Order,INS-0014,Fail,Normal reading verified,0.0,,
AUD-0001143,BSCM-000299,Hebbal,2024-12-16 03:00:00,Seal Verification,INS-0005,Pass,,0.0,,
AUD-0001144,BSCM-000344,Whitefield,2023-12-14 17:00:00,Tariff Update,INS-0017,Fail,Bypass wire found,0.0,,
AUD-0001145,BSCM-000372,Electronic City,2024-07-23 19:00:00,FIR Filed,INS-0010,Fail,Meter seal intact,7703.85,,ALT-001718
AUD-0001146,BSCM-000098,Hebbal,2024-12-26 12:00:00,Physical Audit,INS-0008,Pass,Normal reading verified,0.0,,
AUD-0001147,BSCM-000251,Whitefield,2024-06-09 03:00:00,Notice Issued,INS-0006,Fail,Meter dead — replaced,22011.5,,
AUD-0001148,BSCM-000098,Hebbal,2024-01-01 15:00:00,Tariff Update,INS-0007,Pass,Normal reading verified,0.0,,
AUD-0001149,BSCM-000069,Koramangala,2024-05-16 05:00:00,Reading Correction,INS-0019,Pending,,0.0,2024-06-02,
AUD-0001150,BSCM-000459,Marathahalli,2024-10-11 07:00:00,Notice Issued,INS-0008,Pass,Bypass wire found,0.0,,
AUD-0001151,BSCM-000433,Indiranagar,2024-04-21 17:00:00,Physical Audit,INS-0010,Pending,Meter dead — replaced,0.0,2024-05-31,
AUD-0001152,BSCM-000018,Marathahalli,2023-10-11 20:00:00,Field Inspection,INS-0014,Pass,,0.0,,ALT-002938
AUD-0001153,BSCM-000033,Jayanagar,2023-07-05 09:00:00,Disconnection Order,INS-0007,Pass,Consumer cooperative,0.0,,
AUD-0001154,BSCM-000233,Electronic City,2024-03-19 07:00:00,Meter Replacement,INS-0019,Fail,Normal reading verified,0.0,,
AUD-0001155,BSCM-000122,Yelahanka,2023-08-02 20:00:00,Physical Audit,INS-0006,Pass,No access to premises,0.0,,
AUD-0001156,BSCM-000109,Electronic City,2024-09-02 08:00:00,Physical Audit,INS-0006,Pass,Meter seal intact,0.0,,
AUD-0001157,BSCM-000069,Koramangala,2024-04-02 00:00:00,Reconnection,INS-0007,Escalated,Meter seal intact,0.0,2024-04-25,
AUD-0001158,BSCM-000055,Jayanagar,2023-12-03 01:00:00,Reconnection,INS-0010,Pass,,0.0,,
AUD-0001159,BSCM-000061,Indiranagar,2023-12-19 07:00:00,Reading Correction,INS-0011,Fail,Meter seal intact,0.0,,
AUD-0001160,BSCM-000147,Electronic City,2024-02-28 00:00:00,Notice Issued,INS-0015,Pending,Meter dead — replaced,0.0,2024-04-19,
AUD-0001161,BSCM-000273,Hebbal,2023-08-15 06:00:00,Notice Issued,INS-0012,Pass,Meter dead — replaced,0.0,,
AUD-0001162,BSCM-000303,Yelahanka,2023-01-28 17:00:00,Field Inspection,INS-0013,Fail,Seal broken — theft suspected,0.0,,ALT-001530
AUD-0001163,BSCM-000324,Jayanagar,2023-12-04 19:00:00,Meter Replacement,INS-0006,Pass,Meter seal intact,0.0,,
AUD-0001164,BSCM-000150,BTM Layout,2023-08-16 18:00:00,Tariff Update,INS-0006,Pass,Consumer cooperative,0.0,,
AUD-0001165,BSCM-000319,Marathahalli,2023-10-18 11:00:00,Physical Audit,INS-0020,Pass,Bypass wire found,0.0,,
AUD-0001166,BSCM-000316,Yelahanka,2023-03-13 23:00:00,Reconnection,INS-0002,Fail,Normal reading verified,0.0,,
AUD-0001167,BSCM-000477,Whitefield,2024-03-14 12:00:00,Reconnection,INS-0003,Pass,Seal broken — theft suspected,0.0,,
AUD-0001168,BSCM-000412,Yelahanka,2024-01-18 05:00:00,Meter Replacement,INS-0001,Pass,,0.0,,
AUD-0001169,BSCM-000003,Yelahanka,2023-07-22 08:00:00,Reading Correction,INS-0016,Pass,Normal reading verified,0.0,,
AUD-0001170,BSCM-000299,Hebbal,2024-11-06 21:00:00,Physical Audit,INS-0015,Pending,,0.0,2024-12-18,
AUD-0001171,BSCM-000356,Rajajinagar,2024-12-05 12:00:00,Tariff Update,INS-0005,Pass,Bypass wire found,0.0,,
AUD-0001172,BSCM-000331,Jayanagar,2023-05-10 08:00:00,Disconnection Order,INS-0008,Fail,Normal reading verified,0.0,,
AUD-0001173,BSCM-000251,Whitefield,2024-05-25 03:00:00,Tariff Update,INS-0003,Fail,No access to premises,0.0,,
AUD-0001174,BSCM-000420,Yelahanka,2024-03-05 20:00:00,Notice Issued,INS-0006,Pass,Consumer cooperative,0.0,,
AUD-0001175,BSCM-000422,Rajajinagar,2023-02-09 17:00:00,Disconnection Order,INS-0018,Pass,Consumer cooperative,0.0,,
AUD-0001176,BSCM-000134,Hebbal,2023-04-24 07:00:00,Reading Correction,INS-0007,Fail,,0.0,,
AUD-0001177,BSCM-000269,Indiranagar,2023-09-15 08:00:00,Disconnection Order,INS-0020,Pass,Normal reading verified,0.0,,
AUD-0001178,BSCM-000387,Indiranagar,2023-04-07 18:00:00,Reading Correction,INS-0011,Pass,Bypass wire found,0.0,,
AUD-0001179,BSCM-000349,Hebbal,2024-08-09 16:00:00,FIR Filed,INS-0011,Pass,Normal reading verified,0.0,,ALT-000299
AUD-0001180,BSCM-000331,Jayanagar,2023-07-15 16:00:00,Reading Correction,INS-0006,Pending,Consumer cooperative,0.0,2023-08-04,
AUD-0001181,BSCM-000492,Whitefield,2024-07-09 08:00:00,Reading Correction,INS-0007,Escalated,Seal broken — theft suspected,0.0,2024-08-18,
AUD-0001182,BSCM-000189,BTM Layout,2023-10-17 14:00:00,Notice Issued,INS-0016,Pass,Bypass wire found,0.0,,
AUD-0001183,BSCM-000218,Rajajinagar,2023-10-19 07:00:00,Physical Audit,INS-0019,Fail,Normal reading verified,0.0,,
AUD-0001184,BSCM-000195,Koramangala,2024-06-16 00:00:00,FIR Filed,INS-0001,Fail,Normal reading verified,40517.93,,ALT-001403
AUD-0001185,BSCM-000404,Marathahalli,2023-11-05 09:00:00,Reading Correction,INS-0006,Fail,,0.0,,
AUD-0001186,BSCM-000373,Indiranagar,2024-05-10 20:00:00,Tariff Update,INS-0013,Pending,Consumer cooperative,0.0,2024-06-27,
AUD-0001187,BSCM-000224,Jayanagar,2024-10-19 07:00:00,Disconnection Order,INS-0012,Pending,Seal broken — theft suspected,0.0,2024-11-10,
AUD-0001188,BSCM-000365,Rajajinagar,2023-05-31 05:00:00,Reconnection,INS-0018,Pending,Meter seal intact,0.0,2023-06-23,
AUD-0001189,BSCM-000377,Indiranagar,2024-06-13 19:00:00,Disconnection Order,INS-0014,Pass,No access to premises,0.0,,
AUD-0001190,BSCM-000216,Electronic City,2023-10-29 05:00:00,Seal Verification,INS-0010,Pass,Bypass wire found,0.0,,
AUD-0001191,BSCM-000211,Whitefield,2023-11-04 07:00:00,Notice Issued,INS-0011,Pass,Meter dead — replaced,0.0,,
AUD-0001192,BSCM-000207,Indiranagar,2024-08-20 19:00:00,Tariff Update,INS-0002,Pass,Consumer cooperative,0.0,,
AUD-0001193,BSCM-000277,Indiranagar,2024-06-30 10:00:00,Physical Audit,INS-0008,Pass,Meter seal intact,0.0,,
AUD-0001194,BSCM-000032,Yelahanka,2024-10-30 18:00:00,Disconnection Order,INS-0013,Pass,,0.0,,
AUD-0001195,BSCM-000211,Whitefield,2023-07-25 15:00:00,Seal Verification,INS-0010,Pass,Meter dead — replaced,0.0,,
AUD-0001196,BSCM-000196,Indiranagar,2024-01-23 08:00:00,Reading Correction,INS-0017,Fail,,0.0,,
AUD-0001197,BSCM-000277,Indiranagar,2024-02-26 10:00:00,Reconnection,INS-0014,Pass,Normal reading verified,0.0,,
AUD-0001198,BSCM-000213,Electronic City,2023-05-14 03:00:00,Disconnection Order,INS-0016,Pass,Consumer cooperative,0.0,,
AUD-0001199,BSCM-000151,Rajajinagar,2023-04-15 20:00:00,Notice Issued,INS-0002,Pass,Meter dead — replaced,0.0,,
AUD-0001200,BSCM-000072,Hebbal,2023-07-14 09:00:00,Notice Issued,INS-0006,Escalated,Bypass wire found,0.0,2023-08-17,
AUD-0001201,BSCM-000348,BTM Layout,2023-05-19 07:00:00,Tariff Update,INS-0015,Fail,Meter seal intact,0.0,,
AUD-0001202,BSCM-000215,Electronic City,2023-03-10 18:00:00,Reading Correction,INS-0015,Pending,,0.0,2023-05-03,
AUD-0001203,BSCM-000190,Jayanagar,2024-06-28 14:00:00,Meter Replacement,INS-0015,Fail,Normal reading verified,0.0,,
AUD-0001204,BSCM-000252,Rajajinagar,2024-06-09 16:00:00,FIR Filed,INS-0015,Fail,Bypass wire found,13923.19,,ALT-003056
AUD-0001205,BSCM-000271,Rajajinagar,2023-09-30 13:00:00,Field Inspection,INS-0015,Pass,Seal broken — theft suspected,0.0,,ALT-001725
AUD-0001206,BSCM-000091,Electronic City,2023-06-01 16:00:00,Tariff Update,INS-0015,Fail,Consumer cooperative,0.0,,
AUD-0001207,BSCM-000399,Hebbal,2023-02-19 06:00:00,Tariff Update,INS-0012,Pass,Bypass wire found,0.0,,
AUD-0001208,BSCM-000211,Whitefield,2024-01-28 23:00:00,Disconnection Order,INS-0002,Pass,Meter dead — replaced,0.0,,
AUD-0001209,BSCM-000481,Jayanagar,2024-07-07 00:00:00,Reconnection,INS-0001,Pass,Bypass wire found,0.0,,
AUD-0001210,BSCM-000181,Marathahalli,2023-05-11 13:00:00,Reading Correction,INS-0004,Pass,Seal broken — theft suspected,0.0,,
AUD-0001211,BSCM-000160,Marathahalli,2023-05-23 18:00:00,FIR Filed,INS-0017,Pass,Meter dead — replaced,0.0,,ALT-000024
AUD-0001212,BSCM-000216,Electronic City,2023-04-28 20:00:00,Tariff Update,INS-0007,Escalated,Consumer cooperative,0.0,2023-05-19,
AUD-0001213,BSCM-000050,Jayanagar,2024-12-18 20:00:00,Tariff Update,INS-0018,Fail,Bypass wire found,0.0,,
AUD-0001214,BSCM-000057,Whitefield,2024-08-13 11:00:00,FIR Filed,INS-0008,Pass,Bypass wire found,0.0,,ALT-002661
AUD-0001215,BSCM-000096,Jayanagar,2023-05-06 21:00:00,Tariff Update,INS-0012,Pass,Consumer cooperative,0.0,,
AUD-0001216,BSCM-000407,Electronic City,2024-12-13 01:00:00,Reading Correction,INS-0008,Pending,Meter dead — replaced,0.0,2025-02-03,
AUD-0001217,BSCM-000196,Indiranagar,2024-06-14 20:00:00,Meter Replacement,INS-0009,Pass,,0.0,,
AUD-0001218,BSCM-000432,Electronic City,2024-08-29 18:00:00,FIR Filed,INS-0004,Escalated,Meter seal intact,0.0,2024-09-28,ALT-003213
AUD-0001219,BSCM-000003,Yelahanka,2023-10-29 04:00:00,Disconnection Order,INS-0015,Fail,Meter seal intact,0.0,,
AUD-0001220,BSCM-000052,Hebbal,2024-08-09 01:00:00,FIR Filed,INS-0005,Pass,Seal broken — theft suspected,0.0,,ALT-000136
AUD-0001221,BSCM-000187,Yelahanka,2024-01-30 13:00:00,Seal Verification,INS-0006,Pending,Consumer cooperative,0.0,2024-03-02,
AUD-0001222,BSCM-000365,Rajajinagar,2024-07-29 08:00:00,Physical Audit,INS-0010,Pass,Meter seal intact,0.0,,
AUD-0001223,BSCM-000066,Electronic City,2024-12-28 21:00:00,Notice Issued,INS-0019,Escalated,Normal reading verified,0.0,2025-01-13,
AUD-0001224,BSCM-000128,Jayanagar,2023-09-13 05:00:00,Reconnection,INS-0019,Pass,Consumer cooperative,0.0,,
AUD-0001225,BSCM-000396,Electronic City,2023-08-05 04:00:00,Tariff Update,INS-0008,Pass,Meter dead — replaced,0.0,,
AUD-0001226,BSCM-000334,Rajajinagar,2023-04-17 09:00:00,Reconnection,INS-0014,Pass,Seal broken — theft suspected,0.0,,
AUD-0001227,BSCM-000380,Whitefield,2024-02-29 19:00:00,Seal Verification,INS-0009,Escalated,Normal reading verified,0.0,2024-04-21,
AUD-0001228,BSCM-000468,Jayanagar,2024-01-11 17:00:00,Meter Replacement,INS-0014,Pass,Consumer cooperative,0.0,,
AUD-0001229,BSCM-000103,BTM Layout,2023-08-03 17:00:00,Physical Audit,INS-0013,Pending,Consumer cooperative,0.0,2023-08-21,
AUD-0001230,BSCM-000292,Electronic City,2024-06-03 16:00:00,Meter Replacement,INS-0003,Fail,Normal reading verified,0.0,,
AUD-0001231,BSCM-000299,Hebbal,2024-05-15 02:00:00,Tariff Update,INS-0004,Pass,Consumer cooperative,0.0,,
AUD-0001232,BSCM-000409,Jayanagar,2024-03-14 21:00:00,Reconnection,INS-0014,Pass,,0.0,,
AUD-0001233,BSCM-000197,Indiranagar,2023-12-17 12:00:00,Notice Issued,INS-0017,Pass,Normal reading verified,0.0,,
AUD-0001234,BSCM-000006,Rajajinagar,2023-08-01 03:00:00,Seal Verification,INS-0008,Pass,Bypass wire found,0.0,,
AUD-0001235,BSCM-000394,Indiranagar,2023-05-24 00:00:00,Meter Replacement,INS-0001,Pass,Bypass wire found,0.0,,
AUD-0001236,BSCM-000375,BTM Layout,2023-11-25 04:00:00,Meter Replacement,INS-0019,Pass,Meter dead — replaced,0.0,,
AUD-0001237,BSCM-000046,Hebbal,2023-09-09 22:00:00,FIR Filed,INS-0011,Pass,,0.0,,ALT-001321
AUD-0001238,BSCM-000266,Marathahalli,2024-12-01 04:00:00,Physical Audit,INS-0011,Escalated,Meter seal intact,0.0,2024-12-14,
AUD-0001239,BSCM-000336,Rajajinagar,2024-08-12 14:00:00,Field Inspection,INS-0019,Escalated,Seal broken — theft suspected,0.0,2024-09-25,ALT-001544
AUD-0001240,BSCM-000365,Rajajinagar,2024-11-08 10:00:00,Field Inspection,INS-0019,Pass,,0.0,,ALT-002131
AUD-0001241,BSCM-000213,Electronic City,2023-09-06 00:00:00,Seal Verification,INS-0010,Pass,Meter seal intact,0.0,,
AUD-0001242,BSCM-000181,Marathahalli,2023-07-12 21:00:00,Meter Replacement,INS-0003,Fail,Consumer cooperative,0.0,,
AUD-0001243,BSCM-000347,Koramangala,2023-10-02 07:00:00,Field Inspection,INS-0001,Pass,Bypass wire found,0.0,,ALT-002617
AUD-0001244,BSCM-000038,Whitefield,2023-02-25 16:00:00,Physical Audit,INS-0017,Fail,Consumer cooperative,0.0,,
AUD-0001245,BSCM-000319,Marathahalli,2023-09-05 01:00:00,Notice Issued,INS-0011,Pass,Bypass wire found,0.0,,
AUD-0001246,BSCM-000437,Electronic City,2023-04-08 08:00:00,Physical Audit,INS-0002,Pass,,0.0,,
AUD-0001247,BSCM-000490,Marathahalli,2024-08-09 13:00:00,Notice Issued,INS-0009,Escalated,,0.0,2024-09-26,
AUD-0001248,BSCM-000051,Whitefield,2023-09-20 07:00:00,Reading Correction,INS-0019,Pass,Seal broken — theft suspected,0.0,,
AUD-0001249,BSCM-000310,Indiranagar,2023-09-12 13:00:00,FIR Filed,INS-0010,Fail,Normal reading verified,4773.26,,ALT-003495
AUD-0001250,BSCM-000494,Marathahalli,2023-05-01 17:00:00,Meter Replacement,INS-0001,Pending,Bypass wire found,0.0,2023-06-17,
AUD-0001251,BSCM-000012,Yelahanka,2023-10-26 10:00:00,Physical Audit,INS-0019,Pass,Seal broken — theft suspected,0.0,,
AUD-0001252,BSCM-000121,Indiranagar,2024-12-12 05:00:00,Reconnection,INS-0007,Pass,Meter seal intact,0.0,,
AUD-0001253,BSCM-000216,Electronic City,2024-08-23 00:00:00,Seal Verification,INS-0020,Pending,Seal broken — theft suspected,0.0,2024-09-27,
AUD-0001254,BSCM-000334,Rajajinagar,2024-05-11 17:00:00,Meter Replacement,INS-0014,Escalated,Normal reading verified,0.0,2024-06-16,
AUD-0001255,BSCM-000051,Whitefield,2023-08-08 16:00:00,Disconnection Order,INS-0012,Fail,Seal broken — theft suspected,0.0,,
AUD-0001256,BSCM-000453,Electronic City,2024-08-09 11:00:00,Notice Issued,INS-0020,Fail,Bypass wire found,28523.54,,
AUD-0001257,BSCM-000123,Jayanagar,2023-04-11 06:00:00,Seal Verification,INS-0014,Pass,Normal reading verified,0.0,,
AUD-0001258,BSCM-000425,Electronic City,2023-03-22 00:00:00,FIR Filed,INS-0001,Pass,Consumer cooperative,0.0,,ALT-000612
AUD-0001259,BSCM-000289,Jayanagar,2023-10-09 01:00:00,Reading Correction,INS-0012,Pass,No access to premises,0.0,,
AUD-0001260,BSCM-000115,Marathahalli,2023-05-24 16:00:00,Field Inspection,INS-0013,Pass,Normal reading verified,0.0,,ALT-001380
AUD-0001261,BSCM-000168,Marathahalli,2024-08-03 01:00:00,Field Inspection,INS-0019,Pass,Seal broken — theft suspected,0.0,,ALT-001559
AUD-0001262,BSCM-000318,Whitefield,2023-04-03 01:00:00,Seal Verification,INS-0009,Pass,,0.0,,
AUD-0001263,BSCM-000337,Marathahalli,2024-03-05 16:00:00,Field Inspection,INS-0008,Fail,,0.0,,ALT-001783
AUD-0001264,BSCM-000218,Rajajinagar,2024-05-12 14:00:00,Reconnection,INS-0015,Fail,Normal reading verified,0.0,,
AUD-0001265,BSCM-000473,Koramangala,2023-04-25 03:00:00,Notice Issued,INS-0017,Pass,Normal reading verified,0.0,,
AUD-0001266,BSCM-000475,Jayanagar,2024-11-26 18:00:00,Reading Correction,INS-0018,Pass,Seal broken — theft suspected,0.0,,
AUD-0001267,BSCM-000003,Yelahanka,2024-12-11 12:00:00,Reconnection,INS-0019,Escalated,No access to premises,0.0,2024-12-25,
AUD-0001268,BSCM-000032,Yelahanka,2023-04-22 02:00:00,Notice Issued,INS-0019,Pass,No access to premises,0.0,,
AUD-0001269,BSCM-000117,Indiranagar,2024-08-17 02:00:00,Seal Verification,INS-0009,Pass,Seal broken — theft suspected,0.0,,
AUD-0001270,BSCM-000494,Marathahalli,2023-02-22 09:00:00,Field Inspection,INS-0017,Pass,No access to premises,0.0,,ALT-002887
AUD-0001271,BSCM-000236,Indiranagar,2024-07-21 22:00:00,Notice Issued,INS-0013,Pass,Normal reading verified,0.0,,
AUD-0001272,BSCM-000130,Hebbal,2024-04-02 20:00:00,Meter Replacement,INS-0004,Pass,Normal reading verified,0.0,,
AUD-0001273,BSCM-000434,Yelahanka,2023-02-10 14:00:00,FIR Filed,INS-0006,Fail,Meter seal intact,33839.3,,ALT-001866
AUD-0001274,BSCM-000184,Yelahanka,2024-06-15 09:00:00,Reading Correction,INS-0009,Pass,Normal reading verified,0.0,,
AUD-0001275,BSCM-000017,Hebbal,2024-08-07 06:00:00,Field Inspection,INS-0015,Pass,No access to premises,0.0,,ALT-003088
AUD-0001276,BSCM-000274,Yelahanka,2023-10-12 05:00:00,Tariff Update,INS-0003,Pass,Meter seal intact,0.0,,
AUD-0001277,BSCM-000442,Electronic City,2024-07-14 20:00:00,FIR Filed,INS-0008,Fail,Seal broken — theft suspected,28747.35,,ALT-001294
AUD-0001278,BSCM-000211,Whitefield,2023-10-11 23:00:00,Reading Correction,INS-0020,Fail,Bypass wire found,0.0,,
AUD-0001279,BSCM-000125,Koramangala,2024-09-02 01:00:00,Reconnection,INS-0002,Pending,Seal broken — theft suspected,0.0,2024-10-23,
AUD-0001280,BSCM-000368,Rajajinagar,2023-04-10 09:00:00,Reconnection,INS-0016,Pass,Normal reading verified,0.0,,
AUD-0001281,BSCM-000010,Jayanagar,2023-09-09 20:00:00,Notice Issued,INS-0014,Pass,Seal broken — theft suspected,0.0,,
AUD-0001282,BSCM-000107,Hebbal,2023-04-09 12:00:00,FIR Filed,INS-0018,Pending,,0.0,2023-04-29,ALT-001914
AUD-0001283,BSCM-000263,Indiranagar,2024-10-06 03:00:00,Tariff Update,INS-0002,Pass,Consumer cooperative,0.0,,
AUD-0001284,BSCM-000204,Rajajinagar,2024-01-05 07:00:00,Tariff Update,INS-0009,Pass,Bypass wire found,0.0,,
AUD-0001285,BSCM-000130,Hebbal,2023-09-30 19:00:00,FIR Filed,INS-0007,Pending,Meter dead — replaced,0.0,2023-10-08,ALT-000993
AUD-0001286,BSCM-000469,Koramangala,2023-06-08 04:00:00,Seal Verification,INS-0013,Pass,,0.0,,
AUD-0001287,BSCM-000269,Indiranagar,2024-08-11 08:00:00,Seal Verification,INS-0008,Pending,No access to premises,0.0,2024-09-16,
AUD-0001288,BSCM-000293,Indiranagar,2023-05-10 07:00:00,Field Inspection,INS-0012,Pass,Normal reading verified,0.0,,ALT-002114
AUD-0001289,BSCM-000147,Electronic City,2024-09-26 14:00:00,Disconnection Order,INS-0010,Fail,No access to premises,0.0,,
AUD-0001290,BSCM-000337,Marathahalli,2023-03-20 05:00:00,Meter Replacement,INS-0013,Pass,Meter seal intact,0.0,,
AUD-0001291,BSCM-000090,Yelahanka,2024-02-19 07:00:00,Physical Audit,INS-0001,Pass,No access to premises,0.0,,
AUD-0001292,BSCM-000351,Whitefield,2023-11-30 14:00:00,Field Inspection,INS-0012,Pass,No access to premises,0.0,,ALT-001020
AUD-0001293,BSCM-000065,Koramangala,2023-04-16 01:00:00,Field Inspection,INS-0014,Pass,No access to premises,0.0,,ALT-003371
AUD-0001294,BSCM-000034,Whitefield,2023-04-08 02:00:00,Reading Correction,INS-0019,Fail,Normal reading verified,0.0,,
AUD-0001295,BSCM-000430,Whitefield,2023-01-16 00:00:00,Field Inspection,INS-0013,Pass,Meter dead — replaced,0.0,,ALT-000263
AUD-0001296,BSCM-000392,Electronic City,2024-06-19 07:00:00,Reconnection,INS-0015,Pass,Bypass wire found,0.0,,
AUD-0001297,BSCM-000004,Whitefield,2024-04-27 03:00:00,Reading Correction,INS-0020,Fail,Seal broken — theft suspected,0.0,,
AUD-0001298,BSCM-000327,Electronic City,2024-09-23 12:00:00,Tariff Update,INS-0020,Pending,Meter dead — replaced,0.0,2024-11-08,
AUD-0001299,BSCM-000235,Whitefield,2023-11-08 11:00:00,Physical Audit,INS-0016,Fail,No access to premises,0.0,,
AUD-0001300,BSCM-000360,Rajajinagar,2024-02-27 10:00:00,Seal Verification,INS-0009,Fail,Meter dead — replaced,0.0,,
AUD-0001301,BSCM-000490,Marathahalli,2024-10-22 10:00:00,Reading Correction,INS-0015,Fail,Consumer cooperative,0.0,,
AUD-0001302,BSCM-000412,Yelahanka,2024-07-17 15:00:00,Notice Issued,INS-0003,Pass,,0.0,,
AUD-0001303,BSCM-000076,Hebbal,2024-03-10 07:00:00,Notice Issued,INS-0016,Fail,,21500.07,,
AUD-0001304,BSCM-000111,Koramangala,2023-05-07 06:00:00,Meter Replacement,INS-0008,Pass,No access to premises,0.0,,
AUD-0001305,BSCM-000338,Rajajinagar,2024-04-18 15:00:00,Field Inspection,INS-0011,Pending,Bypass wire found,0.0,2024-05-16,ALT-000147
AUD-0001306,BSCM-000214,Hebbal,2023-05-22 12:00:00,Meter Replacement,INS-0009,Pass,No access to premises,0.0,,
AUD-0001307,BSCM-000172,Jayanagar,2023-12-24 14:00:00,Reconnection,INS-0016,Pass,Seal broken — theft suspected,0.0,,
AUD-0001308,BSCM-000285,Indiranagar,2024-05-18 11:00:00,Reconnection,INS-0019,Fail,Meter dead — replaced,0.0,,
AUD-0001309,BSCM-000183,BTM Layout,2023-11-19 20:00:00,Tariff Update,INS-0017,Fail,Bypass wire found,0.0,,
AUD-0001310,BSCM-000404,Marathahalli,2024-05-30 12:00:00,Seal Verification,INS-0018,Pass,Seal broken — theft suspected,0.0,,
AUD-0001311,BSCM-000492,Whitefield,2024-01-10 02:00:00,Reading Correction,INS-0013,Fail,,0.0,,
AUD-0001312,BSCM-000095,BTM Layout,2023-01-10 10:00:00,Notice Issued,INS-0019,Pass,No access to premises,0.0,,
AUD-0001313,BSCM-000190,Jayanagar,2024-04-29 04:00:00,Seal Verification,INS-0007,Fail,,0.0,,
AUD-0001314,BSCM-000055,Jayanagar,2024-07-17 08:00:00,Reconnection,INS-0016,Pass,,0.0,,
AUD-0001315,BSCM-000228,Indiranagar,2024-03-25 17:00:00,Tariff Update,INS-0011,Pass,Consumer cooperative,0.0,,
AUD-0001316,BSCM-000207,Indiranagar,2024-06-19 11:00:00,FIR Filed,INS-0012,Pass,Bypass wire found,0.0,,ALT-002856
AUD-0001317,BSCM-000306,Koramangala,2024-03-14 06:00:00,Meter Replacement,INS-0007,Pass,No access to premises,0.0,,
AUD-0001318,BSCM-000435,Marathahalli,2023-11-29 10:00:00,Reconnection,INS-0015,Pass,Consumer cooperative,0.0,,
AUD-0001319,BSCM-000364,Rajajinagar,2023-10-13 14:00:00,Meter Replacement,INS-0015,Fail,No access to premises,0.0,,
AUD-0001320,BSCM-000058,Whitefield,2023-10-21 03:00:00,Tariff Update,INS-0002,Fail,Meter dead — replaced,0.0,,
AUD-0001321,BSCM-000170,BTM Layout,2023-06-02 21:00:00,Notice Issued,INS-0011,Fail,No access to premises,36667.0,,
AUD-0001322,BSCM-000026,BTM Layout,2023-12-28 14:00:00,Notice Issued,INS-0017,Pass,Seal broken — theft suspected,0.0,,
AUD-0001323,BSCM-000189,BTM Layout,2023-11-25 20:00:00,Physical Audit,INS-0001,Escalated,Meter seal intact,0.0,2024-01-08,
AUD-0001324,BSCM-000111,Koramangala,2023-10-08 17:00:00,Field Inspection,INS-0014,Escalated,,0.0,2023-11-29,ALT-001922
AUD-0001325,BSCM-000067,Electronic City,2024-12-04 18:00:00,Field Inspection,INS-0018,Fail,Meter seal intact,0.0,,ALT-001774
